"","date","location","new_cases","new_deaths","total_cases","total_deaths","recover","total_recover","icu","support","import"
"1",2019-12-31,"Malaysia",0,0,0,0,0,0,0,0,0
"2",2020-01-01,"Malaysia",0,0,0,0,0,0,0,0,0
"3",2020-01-02,"Malaysia",0,0,0,0,0,0,0,0,0
"4",2020-01-03,"Malaysia",0,0,0,0,0,0,0,0,0
"5",2020-01-04,"Malaysia",0,0,0,0,0,0,0,0,0
"6",2020-01-05,"Malaysia",0,0,0,0,0,0,0,0,0
"7",2020-01-06,"Malaysia",0,0,0,0,0,0,0,0,0
"8",2020-01-07,"Malaysia",0,0,0,0,0,0,0,0,0
"9",2020-01-08,"Malaysia",0,0,0,0,0,0,0,0,0
"10",2020-01-09,"Malaysia",0,0,0,0,0,0,0,0,0
"11",2020-01-10,"Malaysia",0,0,0,0,0,0,0,0,0
"12",2020-01-11,"Malaysia",0,0,0,0,0,0,0,0,0
"13",2020-01-12,"Malaysia",0,0,0,0,0,0,0,0,0
"14",2020-01-13,"Malaysia",0,0,0,0,0,0,0,0,0
"15",2020-01-14,"Malaysia",0,0,0,0,0,0,0,0,0
"16",2020-01-15,"Malaysia",0,0,0,0,0,0,0,0,0
"17",2020-01-16,"Malaysia",0,0,0,0,0,0,0,0,0
"18",2020-01-17,"Malaysia",0,0,0,0,0,0,0,0,0
"19",2020-01-18,"Malaysia",0,0,0,0,0,0,0,0,0
"20",2020-01-19,"Malaysia",0,0,0,0,0,0,0,0,0
"21",2020-01-20,"Malaysia",0,0,0,0,0,0,0,0,0
"22",2020-01-21,"Malaysia",0,0,0,0,0,0,0,0,0
"23",2020-01-22,"Malaysia",0,0,0,0,0,0,0,0,0
"24",2020-01-23,"Malaysia",0,0,0,0,0,0,0,0,0
"25",2020-01-24,"Malaysia",3,0,3,0,0,0,0,0,3
"26",2020-01-25,"Malaysia",1,0,4,0,0,0,0,0,1
"27",2020-01-26,"Malaysia",0,0,4,0,0,0,0,0,0
"28",2020-01-27,"Malaysia",0,0,4,0,0,0,0,0,0
"29",2020-01-28,"Malaysia",3,0,7,0,0,0,0,0,3
"30",2020-01-29,"Malaysia",0,0,7,0,0,0,0,0,0
"31",2020-01-30,"Malaysia",1,0,8,0,0,0,0,0,1
"32",2020-01-31,"Malaysia",0,0,8,0,0,0,0,0,0
"33",2020-02-01,"Malaysia",0,0,8,0,0,0,0,0,0
"34",2020-02-02,"Malaysia",0,0,8,0,0,0,0,0,0
"35",2020-02-03,"Malaysia",0,0,8,0,1,1,0,0,0
"36",2020-02-04,"Malaysia",2,0,10,0,0,1,0,0,1
"37",2020-02-05,"Malaysia",2,0,12,0,0,1,0,0,2
"38",2020-02-06,"Malaysia",2,0,14,0,0,1,0,0,2
"39",2020-02-07,"Malaysia",1,0,15,0,1,2,0,0,1
"40",2020-02-08,"Malaysia",1,0,16,0,1,3,0,0,0
"41",2020-02-09,"Malaysia",2,0,18,0,0,3,0,0,1
"42",2020-02-10,"Malaysia",0,0,18,0,0,3,0,0,0
"43",2020-02-11,"Malaysia",0,0,18,0,0,3,0,0,0
"44",2020-02-12,"Malaysia",0,0,18,0,0,3,0,0,0
"45",2020-02-13,"Malaysia",1,0,19,0,4,7,0,0,1
"46",2020-02-14,"Malaysia",2,0,21,0,0,7,0,0,2
"47",2020-02-15,"Malaysia",1,0,22,0,1,8,0,0,1
"48",2020-02-16,"Malaysia",0,0,22,0,1,9,0,0,0
"49",2020-02-17,"Malaysia",0,0,22,0,4,13,0,0,0
"50",2020-02-18,"Malaysia",0,0,22,0,4,17,0,0,0
"51",2020-02-19,"Malaysia",0,0,22,0,0,17,0,0,0
"52",2020-02-20,"Malaysia",0,0,22,0,0,17,0,0,0
"53",2020-02-21,"Malaysia",0,0,22,0,0,17,0,0,0
"54",2020-02-22,"Malaysia",0,0,22,0,1,18,0,0,0
"55",2020-02-23,"Malaysia",0,0,22,0,2,20,0,0,0
"56",2020-02-24,"Malaysia",0,0,22,0,0,20,0,0,0
"57",2020-02-25,"Malaysia",0,0,22,0,0,20,0,0,0
"58",2020-02-26,"Malaysia",0,0,22,0,2,22,0,0,0
"59",2020-02-27,"Malaysia",1,0,23,0,0,22,0,0,0
"60",2020-02-28,"Malaysia",2,0,25,0,0,22,0,0,0
"61",2020-02-29,"Malaysia",0,0,25,0,0,22,0,0,0
"62",2020-03-01,"Malaysia",4,0,29,0,0,22,0,0,0
"63",2020-03-02,"Malaysia",0,0,29,0,0,22,0,0,0
"64",2020-03-03,"Malaysia",7,0,36,0,0,22,0,0,0
"65",2020-03-04,"Malaysia",14,0,50,0,0,22,0,0,0
"66",2020-03-05,"Malaysia",0,0,50,0,0,22,0,0,0
"67",2020-03-06,"Malaysia",33,0,83,0,1,23,0,0,0
"68",2020-03-07,"Malaysia",10,0,93,0,0,23,0,0,0
"69",2020-03-08,"Malaysia",6,0,99,0,1,24,0,0,0
"70",2020-03-09,"Malaysia",18,0,117,0,0,24,0,0,0
"71",2020-03-10,"Malaysia",12,0,129,0,1,25,0,0,0
"72",2020-03-11,"Malaysia",20,0,149,0,1,26,2,2,0
"73",2020-03-12,"Malaysia",9,0,158,0,6,32,3,3,0
"74",2020-03-13,"Malaysia",39,0,197,0,1,33,4,4,0
"75",2020-03-14,"Malaysia",41,0,238,0,2,35,5,5,0
"76",2020-03-15,"Malaysia",190,0,428,0,7,42,9,9,0
"77",2020-03-16,"Malaysia",125,0,553,0,0,42,12,12,0
"78",2020-03-17,"Malaysia",120,2,673,2,7,49,12,12,0
"79",2020-03-18,"Malaysia",117,0,790,2,11,60,15,15,0
"80",2020-03-19,"Malaysia",110,0,900,2,15,75,20,20,0
"81",2020-03-20,"Malaysia",130,0,1030,2,12,87,26,26,0
"82",2020-03-21,"Malaysia",153,2,1183,4,27,114,37,23,0
"83",2020-03-22,"Malaysia",123,6,1306,10,25,139,46,22,0
"84",2020-03-23,"Malaysia",212,4,1518,14,20,159,57,27,0
"85",2020-03-24,"Malaysia",106,1,1624,15,24,183,64,27,0
"86",2020-03-25,"Malaysia",172,4,1796,19,16,199,45,34,0
"87",2020-03-26,"Malaysia",235,4,2031,23,16,215,45,32,0
"88",2020-03-27,"Malaysia",130,3,2161,26,44,259,54,34,0
"89",2020-03-28,"Malaysia",159,1,2320,27,61,320,73,54,0
"90",2020-03-29,"Malaysia",150,7,2470,34,68,388,73,52,0
"91",2020-03-30,"Malaysia",156,3,2626,37,91,479,94,62,0
"92",2020-03-31,"Malaysia",140,6,2766,43,58,537,94,60,0
"93",2020-04-01,"Malaysia",142,2,2908,45,108,645,102,66,0
"94",2020-04-02,"Malaysia",208,5,3116,50,122,767,105,54,0
"95",2020-04-03,"Malaysia",217,3,3333,53,60,827,108,54,0
"96",2020-04-04,"Malaysia",150,4,3483,57,88,915,99,50,8
"97",2020-04-05,"Malaysia",179,4,3662,61,90,1005,99,48,8
"98",2020-04-06,"Malaysia",131,1,3793,62,236,1241,102,54,8
"99",2020-04-07,"Malaysia",170,1,3963,63,80,1321,92,50,8
"100",2020-04-08,"Malaysia",156,2,4119,65,166,1487,76,45,8
"101",2020-04-09,"Malaysia",109,2,4228,67,121,1608,72,43,8
"102",2020-04-10,"Malaysia",118,3,4346,70,222,1830,69,40,8
"103",2020-04-11,"Malaysia",184,3,4530,73,165,1995,72,38,8
"104",2020-04-12,"Malaysia",153,3,4683,76,113,2108,66,37,8
"105",2020-04-13,"Malaysia",134,1,4817,77,168,2276,66,36,8
"106",2020-04-14,"Malaysia",170,5,4987,82,202,2478,60,33,8
"107",2020-04-15,"Malaysia",85,1,5072,83,169,2647,56,32,8
"108",2020-04-16,"Malaysia",110,1,5182,84,119,2766,56,29,8
"109",2020-04-17,"Malaysia",69,2,5251,86,201,2967,51,26,8
"110",2020-04-18,"Malaysia",54,2,5305,88,135,3102,49,26,8
"111",2020-04-19,"Malaysia",84,1,5389,89,95,3197,46,26,8
"112",2020-04-20,"Malaysia",36,0,5425,89,98,3295,45,28,8
"113",2020-04-21,"Malaysia",57,3,5482,92,54,3349,43,27,18
"114",2020-04-22,"Malaysia",50,1,5532,93,103,3452,43,25,0
"115",2020-04-23,"Malaysia",71,2,5603,95,90,3542,42,21,0
"116",2020-04-24,"Malaysia",88,1,5691,96,121,3663,41,18,13
"117",2020-04-25,"Malaysia",51,2,5742,98,99,3762,36,16,3
"118",2020-04-26,"Malaysia",38,0,5780,98,100,3862,36,15,5
"119",2020-04-27,"Malaysia",40,1,5820,99,95,3957,37,17,5
"120",2020-04-28,"Malaysia",31,1,5851,100,75,4032,36,17,10
"121",2020-04-29,"Malaysia",94,0,5945,100,55,4087,40,18,72
"122",2020-04-30,"Malaysia",57,2,6002,102,84,4171,36,14,25
"123",2020-05-01,"Malaysia",69,1,6071,103,39,4210,37,14,12
"124",2020-05-02,"Malaysia",105,0,6176,103,116,4326,31,12,11
"125",2020-05-03,"Malaysia",122,2,6298,105,87,4413,27,13,52
"126",2020-05-04,"Malaysia",55,0,6353,105,71,4484,28,13,7
"127",2020-05-05,"Malaysia",30,1,6383,106,83,4567,24,8,0
"128",2020-05-06,"Malaysia",45,1,6428,107,135,4702,22,9,1
"129",2020-05-07,"Malaysia",39,0,6467,107,74,4776,19,8,1
"130",2020-05-08,"Malaysia",68,0,6535,107,88,4864,18,7,4
"131",2020-05-09,"Malaysia",54,1,6589,108,65,4929,18,6,1
"132",2020-05-10,"Malaysia",67,0,6656,108,96,5025,18,6,0
"133",2020-05-11,"Malaysia",70,1,6726,109,88,5113,20,7,13
"134",2020-05-12,"Malaysia",16,0,6742,109,110,5223,16,3,3
"135",2020-05-13,"Malaysia",37,2,6779,111,58,5281,16,4,4
"136",2020-05-14,"Malaysia",40,1,6819,112,70,5351,16,4,0
"137",2020-05-15,"Malaysia",36,0,6855,112,88,5439,14,5,1
"138",2020-05-16,"Malaysia",17,1,6872,113,73,5512,13,5,6
"139",2020-05-17,"Malaysia",22,0,6894,113,59,5571,13,7,5
"140",2020-05-18,"Malaysia",47,0,6941,113,44,5615,13,6,21
"141",2020-05-19,"Malaysia",37,1,6978,114,31,5646,11,6,2
"142",2020-05-20,"Malaysia",31,0,7009,114,60,5706,11,7,10
"143",2020-05-21,"Malaysia",50,0,7059,114,90,5796,10,7,3
"144",2020-05-22,"Malaysia",78,1,7137,115,63,5859,9,5,25
"145",2020-05-23,"Malaysia",48,0,7185,115,53,5912,9,5,4
"146",2020-05-24,"Malaysia",60,0,7245,115,33,5945,9,4,7
"147",2020-05-25,"Malaysia",172,0,7417,115,34,5979,8,4,5
"148",2020-05-26,"Malaysia",187,0,7604,115,62,6041,8,5,10
"149",2020-05-27,"Malaysia",15,0,7619,115,42,6083,8,4,6
"150",2020-05-28,"Malaysia",10,0,7629,115,86,6169,8,4,0
"151",2020-05-29,"Malaysia",103,0,7732,115,66,6235,8,2,7
"152",2020-05-30,"Malaysia",30,0,7762,115,95,6330,9,2,3
"153",2020-05-31,"Malaysia",57,0,7819,115,23,6353,9,2,10
"154",2020-06-01,"Malaysia",38,0,7857,115,51,6404,8,2,26
"155",2020-06-02,"Malaysia",20,0,7877,115,66,6470,6,2,15
"156",2020-06-03,"Malaysia",93,0,7970,115,61,6531,6,2,0
"157",2020-06-04,"Malaysia",277,0,8247,115,28,6559,6,2,2
"158",2020-06-05,"Malaysia",19,1,8266,116,51,6610,6,1,7
"159",2020-06-06,"Malaysia",37,1,8303,117,25,6635,5,0,8
"160",2020-06-07,"Malaysia",19,0,8322,117,39,6674,5,0,6
"161",2020-06-08,"Malaysia",7,0,8329,117,20,6694,6,1,2
"162",2020-06-09,"Malaysia",7,0,8336,117,281,6975,6,1,6
"163",2020-06-10,"Malaysia",2,1,8338,118,39,7014,5,0,1
"164",2020-06-11,"Malaysia",31,0,8369,118,51,7065,5,0,11
"165",2020-06-12,"Malaysia",33,1,8402,119,103,7168,4,0,16
