"","date","state","cases","variant","status","data"
"1",2021-04-01,"Johor",0,"Beta B.1.351","voc","inc"
"2",2021-04-01,"Selangor",0,"Alpha B.1.1.7","voc","inc"
"3",2021-04-01,"Selangor",0,"Delta B.1.617.2","voc","inc"
"4",2021-04-01,"Selangor",0,"Eta B.1.525","voi","inc"
"5",2021-04-01,"Selangor",0,"Theta P.3","voi","inc"
"6",2021-04-01,"Kedah",0,"Beta B.1.351","voc","inc"
"7",2021-04-01,"Sarawak",0,"Alpha B.1.1.7","voc","inc"
"8",2021-04-01,"Sarawak",0,"Delta B.1.617.2","voc","inc"
"9",2021-04-01,"Sarawak",0,"Eta B.1.525","voi","inc"
"10",2021-04-01,"Sarawak",0,"Theta P.3","voi","inc"
"11",2021-04-01,"Kelantan",0,"Beta B.1.351","voc","inc"
"12",2021-04-01,"Kelantan",0,"Alpha B.1.1.7","voc","inc"
"13",2021-04-01,"Kelantan",0,"Delta B.1.617.2","voc","inc"
"14",2021-04-01,"Kelantan",0,"Eta B.1.525","voi","inc"
"15",2021-04-01,"Kelantan",0,"Theta P.3","voi","inc"
"16",2021-04-01,"Malaysia",8,"Beta B.1.351","voc","inc"
"17",2021-04-01,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc","inc"
"18",2021-04-01,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc","inc"
"19",2021-04-01,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi","inc"
"20",2021-04-01,"W.P. Kuala Lumpur",0,"Theta P.3","voi","inc"
"21",2021-04-01,"Negeri Sembilan",0,"Beta B.1.351","voc","inc"
"22",2021-04-01,"Perak",0,"Alpha B.1.1.7","voc","inc"
"23",2021-04-01,"Perak",0,"Delta B.1.617.2","voc","inc"
"24",2021-04-01,"Perak",0,"Eta B.1.525","voi","inc"
"25",2021-04-01,"Perak",0,"Theta P.3","voi","inc"
"26",2021-04-01,"Perak",0,"Beta B.1.351","voc","inc"
"27",2021-04-01,"Kedah",0,"Alpha B.1.1.7","voc","inc"
"28",2021-04-01,"Kedah",0,"Delta B.1.617.2","voc","inc"
"29",2021-04-01,"Kedah",0,"Eta B.1.525","voi","inc"
"30",2021-04-01,"Kedah",0,"Theta P.3","voi","inc"
"31",2021-04-01,"Perlis",0,"Beta B.1.351","voc","inc"
"32",2021-04-01,"Pulau Pinang",0,"Alpha B.1.1.7","voc","inc"
"33",2021-04-01,"Pulau Pinang",0,"Delta B.1.617.2","voc","inc"
"34",2021-04-01,"Pulau Pinang",0,"Eta B.1.525","voi","inc"
"35",2021-04-01,"Pulau Pinang",0,"Theta P.3","voi","inc"
"36",2021-04-01,"Pulau Pinang",0,"Beta B.1.351","voc","inc"
"37",2021-04-01,"Negeri Sembilan",0,"Alpha B.1.1.7","voc","inc"
"38",2021-04-01,"Negeri Sembilan",0,"Delta B.1.617.2","voc","inc"
"39",2021-04-01,"Negeri Sembilan",0,"Eta B.1.525","voi","inc"
"40",2021-04-01,"Negeri Sembilan",0,"Theta P.3","voi","inc"
"41",2021-04-01,"Sabah",0,"Beta B.1.351","voc","inc"
