"","date","state","new_cases","total_cases","new_deaths","total_deaths","region","population","incident14","incident14_rate","incidence"
"1",2020-03-13,"Perlis",1,1,0,0,"Northern region",254000,NA,NA,0.39
"2",2020-03-13,"Kedah",5,5,0,0,"Northern region",2180600,NA,NA,0.23
"3",2020-03-13,"Pulau Pinang",7,7,0,0,"Northern region",1774600,NA,NA,0.39
"4",2020-03-13,"Perak",2,2,0,0,"Northern region",2512100,NA,NA,0.08
"5",2020-03-13,"Selangor",105,105,0,0,"Central region",6528400,NA,NA,1.61
"6",2020-03-13,"Negeri Sembilan",11,11,0,0,"Southern region",1245700,NA,NA,0.88
"7",2020-03-13,"Melaka",1,1,0,0,"Southern region",930700,NA,NA,0.11
"8",2020-03-13,"Johor",16,16,0,0,"Southern region",3764300,NA,NA,0.43
"9",2020-03-13,"Pahang",2,2,0,0,"Eastern region",1674600,NA,NA,0.12
"10",2020-03-13,"Terengganu",0,0,0,0,"Eastern region",1245700,NA,NA,0
"11",2020-03-13,"Kelantan",3,3,0,0,"Eastern region",1885700,NA,NA,0.16
"12",2020-03-13,"Sabah",15,15,0,0,"Sabah & W.P. Labuan",3903400,NA,NA,0.38
"13",2020-03-13,"Sarawak",0,0,0,0,"Sarawak only",2812800,NA,NA,0
"14",2020-03-13,"W.P. Kuala Lumpur",26,26,0,0,"Central region",1780700,NA,NA,1.46
"15",2020-03-13,"W.P. Putrajaya",1,1,0,0,"Central region",103800,NA,NA,0.96
"16",2020-03-13,"W.P. Labuan",2,2,0,0,"Sabah & W.P. Labuan",99300,NA,NA,2.01
"17",2020-03-14,"Perlis",0,0,0,0,"Northern region",254000,NA,NA,0
"18",2020-03-14,"Kedah",0,0,0,0,"Northern region",2180600,NA,NA,0
"19",2020-03-14,"Pulau Pinang",0,0,0,0,"Northern region",1774600,NA,NA,0
"20",2020-03-14,"Perak",0,0,0,0,"Northern region",2512100,NA,NA,0
"21",2020-03-14,"Selangor",0,0,0,0,"Central region",6528400,NA,NA,0
"22",2020-03-14,"Negeri Sembilan",0,0,0,0,"Southern region",1245700,NA,NA,0
"23",2020-03-14,"Melaka",0,0,0,0,"Southern region",930700,NA,NA,0
"24",2020-03-14,"Johor",0,0,0,0,"Southern region",3764300,NA,NA,0
"25",2020-03-14,"Pahang",0,0,0,0,"Eastern region",1674600,NA,NA,0
"26",2020-03-14,"Terengganu",0,0,0,0,"Eastern region",1245700,NA,NA,0
"27",2020-03-14,"Kelantan",0,0,0,0,"Eastern region",1885700,NA,NA,0
"28",2020-03-14,"Sabah",0,0,0,0,"Sabah & W.P. Labuan",3903400,NA,NA,0
"29",2020-03-14,"Sarawak",0,0,0,0,"Sarawak only",2812800,NA,NA,0
"30",2020-03-14,"W.P. Kuala Lumpur",0,0,0,0,"Central region",1780700,NA,NA,0
"31",2020-03-14,"W.P. Putrajaya",0,0,0,0,"Central region",103800,NA,NA,0
"32",2020-03-14,"W.P. Labuan",0,0,0,0,"Sabah & W.P. Labuan",99300,NA,NA,0
"33",2020-03-15,"Perlis",0,0,0,0,"Northern region",254000,NA,NA,0
"34",2020-03-15,"Kedah",0,0,0,0,"Northern region",2180600,NA,NA,0
"35",2020-03-15,"Pulau Pinang",0,0,0,0,"Northern region",1774600,NA,NA,0
"36",2020-03-15,"Perak",0,0,0,0,"Northern region",2512100,NA,NA,0
"37",2020-03-15,"Selangor",0,0,0,0,"Central region",6528400,NA,NA,0
"38",2020-03-15,"Negeri Sembilan",0,0,0,0,"Southern region",1245700,NA,NA,0
"39",2020-03-15,"Melaka",0,0,0,0,"Southern region",930700,NA,NA,0
"40",2020-03-15,"Johor",0,0,0,0,"Southern region",3764300,NA,NA,0
"41",2020-03-15,"Pahang",0,0,0,0,"Eastern region",1674600,NA,NA,0
