"","new","discharged","death","daily","tabligh","ins","import","fotress","bangau","day","r0","lower.x","upper.x","date","daily_ma1","d","icu","ventilator","cumsum.x","cumsum_death","cumsum_discharged","incident14.x","incidence","incidence14_rate","active","bed_perc5","icu_perc","ven_perc","state","country_region","place_id","recreation.x","grocery.x","parks.x","transit.x","work.x","average.x","rt","lower.y","upper.y","case","total_case","new_death","active_cases_part3","active_cases3","active_cases_part5","active_cases5","active_cases_part9","active_cases9","daily_ma01","incident14.y","country","recreation.y","grocery.y","parks.y","transit.y","work.y","residence","average.y","cumsum.y","hbed","bed_perc3","bed_perc9"
"1",130,12,0,130,67.662336,0,0,0,0,61,2.5690193074253,2.3976007563253,2.74627249720491,2020-03-20,137.857142857143,62.337664,26,26,1030,2,87,947,3.15,2.89,941,2.51786048751773,1.53121319199058,1.21608980355472,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-72,-30,-56,-71,-59,-52.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",153,27,2,153,102.903136,0,0,0,0,62,2.23269772866542,2.09266990597676,2.37719604909752,2020-03-21,135.857142857143,50.096864,37,23,1183,4,114,1090,3.61,3.33,1065,2.84965081743505,2.17903415783274,1.07577174929841,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-77,-39,-65,-75,-55,-60.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",123,25,6,123,119.81872,0,0,0,0,63,1.67403787383707,1.56518540095368,1.78649771906901,2020-03-22,143.714285714286,3.18128,46,22,1306,10,139,1207,3.99,3.69,1157,3.09581783640596,2.70906949352179,1.0289990645463,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-83,-62,-68,-81,-55,-71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",212,20,4,212,169.15584,0,0,0,0,64,1.54358646692309,1.44776885468451,1.64243079469576,2020-03-23,161.571428571429,42.84416,57,27,1518,14,159,1401,4.64,4.28,1345,3.59885478821609,3.35689045936396,1.26286248830683,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-78,-49,-57,-78,-69,-61.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",106,24,1,106,64.843072,0,0,0,0,65,1.32276352185626,1.24006155389561,1.40809734843441,2020-03-24,161.571428571429,41.156928,64,27,1624,15,183,1495,4.96,4.57,1426,3.81558879404918,3.76914016489988,1.26286248830683,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-78,-47,-57,-78,-68,-60.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",172,16,4,172,107.132032,0,0,0,0,66,1.26644782436923,1.18942522193172,1.34585261966678,2020-03-25,162.428571428571,64.867968,45,34,1796,19,199,1647,5.49,5.03,1578,4.2222995210446,2.65017667844523,1.59027128157156,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-76,-42,-56,-77,-67,-58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",235,16,4,235,101.493504,0,0,0,0,67,1.32812956514851,1.2518780420721,1.40660345907109,2020-03-26,166.285714285714,133.506496,45,32,2031,23,215,1873,6.21,5.72,1793,4.79758114146576,2.65017667844523,1.49672591206735,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-76,-43,-57,-77,-67,-58.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",130,44,3,130,45.108224,0,0,0,0,68,1.26364947327579,1.19109992728236,1.33831349501231,2020-03-27,158.285714285714,84.891776,54,34,2161,26,259,1964,6.6,6,1876,5.019666604233,3.18021201413428,1.59027128157156,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-77,-43,-62,-80,-64,-60.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",159,61,1,159,98.67424,0,0,0,0,69,1.21572391434743,1.14610744336493,1.28736394193173,2020-03-28,163.142857142857,60.32576,73,54,2320,27,320,2082,7.09,6.36,1973,5.27921226553929,4.29917550058893,2.52572497661366,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-80,-52,-68,-81,-56,-66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",150,68,7,150,66.252704,0,0,0,0,70,1.18529489228159,1.11820053951432,1.25431643171853,2020-03-29,158.857142857143,83.747296,73,52,2470,34,388,2042,7.55,6.24,2048,5.47989190056993,4.29917550058893,2.43217960710945,"Malaysia","Malaysia","ChIJrzBnX5fTNDAR2BwhKJOWRQc",-81,-58,-68,-83,-52,-69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
